time,geo,unit,s_adj,na_item,value
2015Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47310
2015Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47594
2016Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47997
2016Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48397
2016Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48720
2016Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48959
2017Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49677
2017Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49866
2017Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50127
2017Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50747
2018Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50806
2018Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50732
2018Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50859
2018Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51051
2019Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51093
2019Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51513
2019Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51673
2019Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51498
2020Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50521
2020Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
